"","ResponseId","Duration..in.seconds."
"191","R_17DX1ODgdTGnC4h","718"
"192","R_3H7dN4dP2wgcz1D","766"
"193","R_5Dcm9DXte6N3jqO","715"
"194","R_6ReYgObJef50rOz","843"
"195","R_1HObZFoji6YrIE9","858"
"196","R_7qlaXWa3oaHpYvS","412"
"197","R_1oHG03z1bMBoNCO","740"
"198","R_3xYj0YR0UmggR3U","728"
"199","R_3fcOy3R2T6rT67U","771"
"200","R_6mgHmh78FxVHWpD","822"
"201","R_5cvafe4az2rkDyF","867"
"202","R_7PxRq3TTQeyXTb3","616"
"203","R_7qOGdxRPqhtJDeB","621"
"204","R_1g8fU8ds2M1Tvj3","903"
"205","R_3VdyRa5nvcE0M42","846"
"206","R_3BfA2YSb1TqB5nc","805"
"207","R_12bwcumFAKlzUc8","915"
"208","R_71nVlTeyPSU7T4w","493"
"209","R_5fqWVOFGYnAcdgf","878"
"210","R_3H3CX4QAUC0wx3j","573"
"211","R_1Cmkzav1adZJiNA","886"
"212","R_30HO8ASJ8HsONav","872"
"213","R_6n5Yo3jFY5B6FU8","971"
"214","R_3g0Xy2kn5oCROlU","918"
"215","R_5LqftGIGesryjSr","917"
"216","R_7RwtNxljmocmroW","879"
"217","R_7whP7ISXQLNOBSh","721"
"218","R_3ZBGj6AgJJ3gCYx","1021"
"219","R_11GwzNXoQ6sHmU1","1016"
"220","R_5CvobxAl0SuVPjL","975"
"221","R_5cdqOQblBOnMoE6","947"
"222","R_5ERtzHF9IAsiQDs","1002"
"223","R_61aYuuJsWG0IIE4","1060"
"224","R_3Ns77F6Q953P4TC","996"
"225","R_3FKE9ybsVe32JAM","939"
"226","R_31LT5lf7n0uxN9p","937"
"227","R_1J9DGf5mV62KqoF","1062"
"228","R_3JOur0zN2DsWcNu","980"
"229","R_3qP0x7D4gtflcMp","760"
"230","R_3UDnBV8q4iHlqKZ","992"
"231","R_3ZhvQMxGEyWl6A9","860"
"232","R_5VnqSeFT6uozR8B","1035"
"233","R_58XDBu6W3WyWqul","1065"
"234","R_7HpDvZUatUKTsSm","1091"
"235","R_7SJjNwXaT2MDswT","978"
"236","R_7mjEhiQQ7oYNBTQ","1128"
"237","R_5K3Y8NKCdzAJN5e","1104"
"238","R_6ESwER42xSf52DD","909"
"239","R_5ohvRh5Bl82R6WR","1101"
"240","R_3gMkWKE7vor75KX","997"
"241","R_6PjT0mV0KJcU8M7","772"
"242","R_7Gp8HAVQXi5WcYo","707"
"243","R_5q2tgPHfrZhfKVi","1126"
"244","R_6oG8FsmMKEIVXPi","571"
"245","R_1YcTpKxl6O7E1Yl","1021"
"246","R_1R1REwigYuVvlC5","1166"
"247","R_6HcO5NwugNMMys8","828"
"248","R_7mQUxkLUnRoy4UZ","709"
"249","R_5cnrr8I20u6kGxy","1107"
"250","R_6gX8b1hsD3nX0LT","1151"
"251","R_7hoKOC28iUdJvDb","1099"
"252","R_6S4xcaIVRaR8dAl","1097"
"253","R_5OO9sIQs1zYxqm0","1124"
"254","R_31BkBZZtKjTYIcF","954"
"255","R_10Uy8bYMo8Akysq","1178"
"256","R_5ABcFxRY0XsiAlr","1108"
"257","R_51iJoMCFYS60EyT","1107"
"258","R_7PwyXa4Y42Dczhn","1171"
"259","R_7kG8jOm4S4NjhAa","1041"
"260","R_3GaWei0fnaw1NAt","864"
"261","R_51AHXvk9khriS58","1069"
"262","R_5lfR5VJpDmthQZ7","1138"
"263","R_3MuLaF1w4UI5XKg","1096"
"264","R_3coNr6S2ylD27Pa","1142"
"265","R_5I9mQLLkpyX3Zhu","1150"
"266","R_3SBl37qZAWwxO5u","912"
"267","R_3HLjpZTh42S558z","1105"
"268","R_56nhz3VaVjGAw7l","954"
"269","R_3ji2An1neWVzxwl","1259"
"270","R_5wt535lDpCDPlsL","1317"
"271","R_6jVMvnoElINhfoZ","1326"
"272","R_5rPo20AF0bnFiQR","1218"
"273","R_1HnvfXVl2poj0zr","722"
"274","R_6SJ5R4kLp2vbNuZ","564"
"275","R_7BPqWR6rUYaW6aZ","1205"
"276","R_3gBeHQyItcsh6Kw","957"
"277","R_5KJxdmm5nZDtsNr","1289"
"278","R_3rDP5XelZSb7UaJ","895"
"279","R_7mQKsoICWEFqMDc","953"
"280","R_5S3CgVOf2wb818J","1247"
"281","R_5iQNl05rzwp27w3","1343"
"282","R_3cdRsALVpfvsLBd","1198"
"283","R_5A13atXkJSggw8x","1364"
"284","R_6PgNmJqPAnmgXkW","806"
"285","R_3GqP0k8KC0XlEfn","1243"
"286","R_6EupMgU1gnChs2J","1208"
"287","R_1oSCezqj3VDOfF1","1405"
"288","R_3tR90zxG8vuqrF7","1242"
"289","R_7YPOdClnVNRaD4N","1276"
"290","R_7MEUG4vNRTiBESY","998"
"291","R_3FwUm4bYuJIkFZI","1179"
"292","R_6GwbmoHYQbxqPvT","1207"
"293","R_14gFjsQKE5GaJOh","1450"
"294","R_32mo32tG70wBigW","1061"
"295","R_3CCS3mLPiQV29Px","1306"
"296","R_6QrpkPhRioJmeFD","1364"
"297","R_5ciM5r1dkD8C71a","1300"
"298","R_3ohuw9myYtJ5Khj","677"
"299","R_71iEq3MvscnzIzc","1024"
"300","R_5g1TvTjMI2hprBs","1341"
"301","R_1tl1eDugWInIJnX","673"
"302","R_5eyN6TyWAWblyHD","1465"
"303","R_7YaHSVyd2NsTuOY","1336"
"304","R_3J3ZP8AY3gc9l3n","1389"
"305","R_3e3z0u4wuDsf9iT","1439"
"306","R_7C4qx1ZNMy8iqgp","1303"
"307","R_3wsJbI17fcMxlNN","1302"
"308","R_3SpeM2yphKyDlpa","1371"
"309","R_7RmzOpJVKNWdxzl","1447"
"310","R_7wYpAdpOpvHO2RP","1409"
"311","R_3GdBdf6RJ8wNBo3","1445"
"312","R_59oL4UlNfCOxACR","1581"
"313","R_1Ms3WTDDg3ZwYHa","582"
"314","R_6DWpGMFmae8EYeZ","1030"
"315","R_7NDLAfMWjsExohu","1218"
"316","R_60UhSL6UzkXZcQG","1040"
"317","R_7LMUIAFclcbRWlr","1178"
"318","R_7rGrjAlae6SCFMo","1423"
"319","R_3JDRhYkP2R4Fhtu","1625"
"320","R_3tAwGR9r94uOzfP","1543"
"321","R_30utZNKqWFouUMC","457"
"322","R_3JejlJH0StRWvNv","1531"
"323","R_3AWquR7Qpjt2FwD","1241"
"324","R_5zjWXW9aIFfjPnp","1050"
"325","R_3hFwRQEJp1Dkla3","1435"
"326","R_7DW9mUgXIGQAcgx","1421"
"327","R_6MPS7twCpbyKxPw","1598"
"328","R_1ziFVjYKBGfk72q","1089"
"329","R_3jU1v5dVfffvaj1","1351"
"330","R_1PPo2si9ANGiMCJ","1186"
"331","R_1jwX5KEnOqACEok","1553"
"332","R_1mUQbGZ0fyy3Dmp","1120"
"333","R_7zdPXQA6g5iRdRf","1581"
"334","R_1oHHkheTckpRQlr","1590"
"335","R_77vC9ZY6T4na9M7","1786"
"336","R_7EoEratO90PRmx5","1649"
"337","R_6ZKaNGarlaLKQUN","1812"
"338","R_6STTI139xjjYSFr","1818"
"339","R_5a9Ouio7zcywgBl","1846"
"340","R_6BwwK4qV3F2Z8dG","1850"
"341","R_3wRn7Dm9J72grPe","1515"
"342","R_7dMMe1Yg5IoOVSV","1707"
"343","R_7CZen0oqTyK5hFb","1742"
"344","R_6cII4bEhfX20mGd","1926"
"345","R_6ZeV9wEgrjGwOEp","868"
"346","R_3D0OwAfQQejA0yQ","1505"
"347","R_3PHKKa7CeYB1fIo","1777"
"348","R_6Gdl03D4Q2YqoiX","1749"
"349","R_5Jfvaokk9CZtJiL","1978"
"350","R_7nUCrO621wuVIjC","1714"
"351","R_7eJdS9UUKRLcJBO","1883"
"352","R_7H6vz3yLHB3IsEE","886"
"353","R_5p5PGzScmOr6Ka5","1956"
"354","R_7gcpj6aUTcZ7QjY","1534"
"355","R_7rSPZRUJPeN1cvz","1865"
"356","R_6TaXicWNpAKdM4x","1902"
"357","R_7NaalQg6sfgMD9s","1945"
"358","R_5JF5eSMpNMK85cR","1387"
"359","R_5JEIyLFMlFJSjhe","2141"
"360","R_1ctCjOehlrEwF8t","2221"
"361","R_6i2RnzpSaR9NjUt","2217"
"362","R_5xYfRnHNJBY5V3X","1931"
"363","R_1us18icpg5rTESY","2109"
"364","R_7TzLn9f3hTt6sUe","1105"
"365","R_37rCtrOSlHThr9L","2125"
"366","R_6NQaGsb7PiUQOZo","2177"
"367","R_5S93QGW4CzD0241","2118"
"368","R_3tnhaT5U5KkLG6h","2040"
"369","R_7hbizcZinRgfwGx","1918"
"370","R_1fjpPwjyu9eA2Pf","2326"
"371","R_78y9dHQboMmMrQJ","2198"
"372","R_7J8Z6trM6zTeBbE","2178"
"373","R_3i92ZZ1CFLXYdSp","2307"
"374","R_3OxyPGGV5vGPEBN","2404"
"375","R_1rfdSLl9SLFbQ2I","2494"
"376","R_6OT5xPS59ON9BCb","1947"
"377","R_7MlmRedUHbMLTzm","2159"
"378","R_68SA6MxQeCRTSAP","1812"
"379","R_1Pkgh9uNIm4Am2k","2444"
"380","R_5QxPMi2HUQ2z9tq","2516"
"381","R_137v0S4RThQV4dj","2560"
"382","R_3QSKrtgztumTos9","2488"
"383","R_5CpVFhEyN8RbAFq","489"
"384","R_3oXtMDHVwmhwaGE","2625"
"385","R_3vYssyk9XvVKpmZ","2519"
"386","R_7HufPcS5shX2Z3y","2228"
"387","R_5DcLnLDWpejF3FL","594"
"388","R_7s1MgjGwksAZxep","2146"
"389","R_6nOaLtWQu8QdKvK","2115"
"390","R_3eV7KU9TAMBP9v3","2348"
"391","R_3ylW6tRujLVJfW4","2530"
"392","R_7ToqEEPuudITCxj","2578"
"393","R_7Iypkx4mIeu0n7m","1379"
"394","R_3LhWMVTI4KJb82Z","2804"
"395","R_5dMMae1YFMMIGHV","2834"
"396","R_7mlNi8UVvOLlsfT","2668"
"397","R_56XhhZqDNSdEHKN","2859"
"398","R_1HhpJnVxD9ESIVN","2836"
"399","R_5aysOkLVcMhU3Id","2893"
"400","R_6bQwf6rAbhccnUT","3011"
"401","R_58YHEVFWblJPYCl","945"
"402","R_61EOJbJfjIlJdPL","1163"
"403","R_1wgDlkYl8k9FCRq","2535"
"404","R_31i2uSz2CFORNeH","3051"
"405","R_1PGeQRZy2ZltYLS","3246"
"406","R_7J4bvDxTB9rA9un","1986"
"407","R_1l9RBOUlN7YutTV","2689"
"408","R_16zfKAJUtXlcUN3","3217"
"409","R_7qyOpn1rMb1drsT","3067"
"410","R_17qm0F9kePTZGcB","3233"
"411","R_72QMwpVgIWk1Kme","3217"
"412","R_7szCcugq3YyzymE","3410"
"413","R_6TNvBifHkhlDcRj","2964"
"414","R_6P1no7sXjGHtbVU","3875"
"415","R_18AnWw8EU0OWOJR","3019"
"416","R_3hxxckSS1y2sHPU","3248"
"417","R_3x7EZEP1s2RGmZP","1031"
"418","R_3VOpGTwluznFemh","1158"
"419","R_6ffAY2xXhx9GyNL","804"
"420","R_1YLDSpjfep7qcOK","1219"
"421","R_5CbcSIPyI007aYp","3670"
"422","R_7lKAvJaYfFZVbdg","388"
"423","R_1dtQDLIGyzTAHCt","697"
"424","R_3R2gjBGkCqQ97Ri","536"
"425","R_1PDPBA8arIZfr2h","1241"
"426","R_1E9UUrxqCZfqQy6","1083"
"427","R_7SKFxoTNj7rGVVv","1031"
"428","R_3wuwk5FDRNTcAkY","2051"
"429","R_6CI1INYaQUkRxaM","2132"
"430","R_6QuCKG6NyTvQ5cX","822"
"431","R_3o08JIKD8BVjhLj","617"
"432","R_1uhu9DO9z8ZrdO9","1009"
"433","R_5Do2Z2uUiZLXLwt","2948"
"434","R_5Si3nA7gSOolgb0","1032"
"435","R_51G8NfcLbqYbjZR","1525"
"436","R_3pW9bJdCDnlHs9r","1793"
"437","R_64ATvZq72ehcpW5","1831"
"438","R_5IFou4zrtjT5FnI","1700"
"439","R_3lpKUE2xXGzLlap","1300"
"440","R_6hNAN6c7jKfwwrn","90"
"441","R_66gXxTMEvgl4mNd","118"
"442","R_7PC8QEDhklaJS2B","747"
"443","R_3hSZa4OBUfpn6KZ","1232"
"444","R_1cSP71FZ5Wj8gyL","1337"
"445","R_3zSrAPOi4KyRMxr","1828"
"446","R_5OUKec2ab0o8auB","2716"
"447","R_6CNGtB4uBRq0vXc","52"
"448","R_6qpozjXUZBzPloR","32"
"449","R_5MVWZmY6eUYWbSF","24"
"450","R_1ciwXdTOn49wmiQ","61"
"451","R_1lLArEDRfh1tCfJ","91"
"452","R_5GvNIBb1EKu54a6","62"
"453","R_1VBAqtdDyhgRSdm","128"
"454","R_6Jz5n19fbhwR5mX","92"
"455","R_5iheYU21EhSz7jP","49"
"456","R_10SAi2D8Mx2xGAC","30"
"457","R_6r0UFDjFbZE8tRy","135"
"458","R_5jw9WFLyFCKYc7s","40"
"459","R_1p01a2xMU51Uw5H","141"
"460","R_1rrndsxQsmGTZsT","199"
"461","R_6eST2R0Jfa4iY81","14"
"462","R_7YRmNUN998A9UaD","114"
"463","R_1PctJFf9wibIgxY","246"
"464","R_7JLv89saY0BtkMC","101"
"465","R_5Hnz5XUFyFTE3qF","211"
"466","R_52EZ7JgaGjfkem6","842"
"467","R_1sZlCWAv2BFfvqk","817"
"468","R_5QEdgdTJmUdjkNH","1249"
"469","R_6dvkEfeWX0clhsK","1646"
"470","R_5nkeZ0CKkEDhCjW","11880"
"471","R_3ulEmD3Kds8ZC2B","25052"
"472","R_549V5RMEy0x6Pqp","119"
"473","R_7Nyr4NxiRiScptD","16"
