AI,explanation,ResponseId,PROLIFIC_PID,test_order,test_index,test_mse,Finished,displayed_reward,human_response,hai_response,Order,Year_Built,Gr_Liv_Area,Garage_Cars,Fireplaces,Year_Remod,Overall_Qual,SalePrice,pred1,pred2
pred2,both,R_75T5liT3UwY8r0P,5f79bca83a2eb65c0983816d,1308,181,88881.0266925,True,3,435.0,122.0,1308,1900,1627,2.0,0,2006,5,139500,134994.11,113565.37
pred2,both,R_75T5liT3UwY8r0P,5f79bca83a2eb65c0983816d,2166,182,88881.0266925,True,3,661.0,233.0,2166,2006,1491,2.0,1,2006,7,168675,209103.1,223068.08
pred2,both,R_75T5liT3UwY8r0P,5f79bca83a2eb65c0983816d,298,183,88881.0266925,True,3,660.0,209.0,298,1994,1652,2.0,0,2007,7,203135,193830.97,190283.27
pred2,both,R_75T5liT3UwY8r0P,5f79bca83a2eb65c0983816d,2825,184,88881.0266925,True,3,749.0,281.0,2825,2003,2314,2.0,1,2005,7,229000,223483.72,271161.38
pred2,both,R_75T5liT3UwY8r0P,5f79bca83a2eb65c0983816d,2257,185,88881.0266925,True,3,607.0,214.0,2257,1998,1502,1.0,1,1998,7,330000,195047.02,193027.05
pred2,both,R_75T5liT3UwY8r0P,5f79bca83a2eb65c0983816d,1590,186,88881.0266925,True,3,539.0,190.0,1590,1997,1344,4.0,0,1998,7,206300,220307.0,182998.16
pred2,both,R_75T5liT3UwY8r0P,5f79bca83a2eb65c0983816d,1608,187,88881.0266925,True,3,670.0,179.0,1608,1940,1750,1.0,0,1985,6,160000,129324.57,137625.38
pred2,both,R_75T5liT3UwY8r0P,5f79bca83a2eb65c0983816d,2226,188,88881.0266925,True,3,500.0,163.0,2226,1980,1045,2.0,1,1980,6,123900,163875.56,153542.45
pred2,both,R_75T5liT3UwY8r0P,5f79bca83a2eb65c0983816d,429,189,88881.0266925,True,3,753.0,373.0,429,2008,2184,3.0,1,2008,9,335000,355811.7,348056.28
pred2,both,R_75T5liT3UwY8r0P,5f79bca83a2eb65c0983816d,2572,190,88881.0266925,True,3,419.0,141.0,2572,1963,1008,2.0,0,1963,6,135000,152080.05,133076.48
pred2,both,R_75T5liT3UwY8r0P,5f79bca83a2eb65c0983816d,1416,191,88881.0266925,True,3,472.0,131.0,1416,1950,1164,1.0,0,1950,5,125000,119219.96,116241.53
pred2,shap,R_6rPjqUdSYfFXYDX,658248329be62e92407c8c7f,1737,228,33290.627142800004,True,3,520.0,209.0,1737,2007,1340,2.0,0,2007,7,181134,180781.16,189681.73
pred2,shap,R_6rPjqUdSYfFXYDX,658248329be62e92407c8c7f,2854,229,33290.627142800004,True,3,512.0,291.0,2854,1919,1636,1.0,1,1950,7,167000,146740.84,139588.31
pred2,shap,R_6rPjqUdSYfFXYDX,658248329be62e92407c8c7f,1659,230,33290.627142800004,True,3,357.0,275.0,1659,1968,1743,2.0,1,1968,6,175000,167393.06,182036.81
pred2,shap,R_6rPjqUdSYfFXYDX,658248329be62e92407c8c7f,1148,231,33290.627142800004,True,3,362.0,251.0,1148,1993,1617,2.0,1,1994,6,193000,200164.33,205610.89
pred2,shap,R_6rPjqUdSYfFXYDX,658248329be62e92407c8c7f,2254,232,33290.627142800004,True,3,263.0,122.0,2254,1975,918,1.0,0,1975,7,148000,140877.66,115521.87
pred2,shap,R_6rPjqUdSYfFXYDX,658248329be62e92407c8c7f,1755,233,33290.627142800004,True,3,594.0,394.0,1755,2002,1995,2.0,1,2002,7,219500,211589.53,255485.05
pred2,shap,R_6rPjqUdSYfFXYDX,658248329be62e92407c8c7f,680,234,33290.627142800004,True,3,133.0,134.0,680,1950,1904,1.0,0,1982,5,138000,123406.484,139473.88
pred2,shap,R_6rPjqUdSYfFXYDX,658248329be62e92407c8c7f,2100,235,33290.627142800004,True,3,668.0,471.0,2100,2006,2140,3.0,0,2007,8,360000,249398.53,287883.06
pred2,shap,R_6rPjqUdSYfFXYDX,658248329be62e92407c8c7f,2734,236,33290.627142800004,True,3,278.0,220.0,2734,1942,1150,1.0,2,1950,5,128000,142025.64,145300.39
pred2,shap,R_6rPjqUdSYfFXYDX,658248329be62e92407c8c7f,2122,237,33290.627142800004,True,3,252.0,212.0,2122,1995,1200,2.0,0,1995,6,177500,179335.47,163692.19
pred2,shap,R_6rPjqUdSYfFXYDX,658248329be62e92407c8c7f,1726,238,33290.627142800004,True,3,470.0,305.0,1726,2006,1324,2.0,1,2006,8,221370,245398.77,210167.89
pred2,shap,R_6rPjqUdSYfFXYDX,658248329be62e92407c8c7f,1962,239,33290.627142800004,True,3,308.0,192.0,1962,1950,864,2.0,0,2002,5,129000,150384.83,107144.23
pred1,shap,R_6SaxCDtZgFkr6vL,67ad0a78f190ab5288f928bc,172,192,59732.408625,True,3,324.0,390.0,172,1920,936,0.0,1,1950,5,109500,100714.43,89877.96
pred1,shap,R_6SaxCDtZgFkr6vL,67ad0a78f190ab5288f928bc,1352,193,59732.408625,True,3,463.0,459.0,1352,1923,1848,2.0,1,2000,6,207000,169479.34,159341.6
pred1,shap,R_6SaxCDtZgFkr6vL,67ad0a78f190ab5288f928bc,46,194,59732.408625,True,3,391.0,350.0,46,2009,1358,2.0,1,2010,7,224000,221341.02,233052.56
pred1,shap,R_6SaxCDtZgFkr6vL,67ad0a78f190ab5288f928bc,675,195,59732.408625,True,3,532.0,359.0,675,1958,1142,1.0,1,1958,6,113500,155685.19,141760.28
pred1,shap,R_6SaxCDtZgFkr6vL,67ad0a78f190ab5288f928bc,544,196,59732.408625,True,3,536.0,521.0,544,1996,2122,2.0,1,1997,7,220000,222864.38,243511.81
pred1,shap,R_6SaxCDtZgFkr6vL,67ad0a78f190ab5288f928bc,980,197,59732.408625,True,3,618.0,355.0,980,1970,1092,1.0,0,1970,4,88000,99487.07,108547.38
pred1,shap,R_6SaxCDtZgFkr6vL,67ad0a78f190ab5288f928bc,1655,198,59732.408625,True,3,463.0,359.0,1655,1979,1353,2.0,1,1999,6,192350,179456.94,163458.34
pred1,shap,R_6SaxCDtZgFkr6vL,67ad0a78f190ab5288f928bc,2813,199,59732.408625,True,3,452.0,353.0,2813,2005,1336,2.0,0,2006,7,198000,183974.23,182129.55
pred1,shap,R_6SaxCDtZgFkr6vL,67ad0a78f190ab5288f928bc,2445,200,59732.408625,True,3,544.0,387.0,2445,2000,2234,3.0,1,2000,8,300000,281857.3,294051.38
pred1,shap,R_6SaxCDtZgFkr6vL,67ad0a78f190ab5288f928bc,2094,201,59732.408625,True,3,537.0,256.0,2094,1991,2127,3.0,1,1991,7,238000,242394.33,285443.7
pred1,shap,R_6SaxCDtZgFkr6vL,67ad0a78f190ab5288f928bc,1954,202,59732.408625,True,3,468.0,311.0,1954,1961,888,1.0,0,1961,5,120000,123106.16,116510.22
pred1,shap,R_6SaxCDtZgFkr6vL,67ad0a78f190ab5288f928bc,2350,203,59732.408625,True,3,510.0,493.0,2350,1980,1686,2.0,1,1980,6,207500,160320.17,187589.56
pred2,none,R_6mCmMGwshUbpuFx,67dfc7953881052b94892d8b,1777,84,8299.3289965,True,3,278.0,278.0,1777,2007,1542,3.0,1,2007,8,260261,286163.25,278565.3
pred2,none,R_6mCmMGwshUbpuFx,67dfc7953881052b94892d8b,2011,85,8299.3289965,True,3,233.0,196.0,2011,1939,1232,1.0,2,1950,6,128000,160785.78,148985.73
pred2,none,R_6mCmMGwshUbpuFx,67dfc7953881052b94892d8b,703,86,8299.3289965,True,3,306.0,261.0,703,1946,1389,1.0,2,1992,7,135000,193677.23,150424.84
pred2,none,R_6mCmMGwshUbpuFx,67dfc7953881052b94892d8b,813,87,8299.3289965,True,3,264.0,240.0,813,1979,2240,2.0,0,1979,5,142953,133857.25,183465.08
pred2,none,R_6mCmMGwshUbpuFx,67dfc7953881052b94892d8b,1409,88,8299.3289965,True,3,248.0,151.0,1409,1918,1674,2.0,1,1950,6,185000,142284.98,151889.73
pred2,none,R_6mCmMGwshUbpuFx,67dfc7953881052b94892d8b,959,89,8299.3289965,True,3,254.0,238.0,959,2009,1692,2.0,0,2009,7,224500,200683.27,230117.86
pred2,none,R_6mCmMGwshUbpuFx,67dfc7953881052b94892d8b,2582,90,8299.3289965,True,3,252.0,174.0,2582,1979,943,2.0,2,1979,5,135960,174854.53,157151.98
pred2,none,R_6mCmMGwshUbpuFx,67dfc7953881052b94892d8b,1232,91,8299.3289965,True,3,308.0,183.0,1232,1962,1537,2.0,1,2005,6,174000,183872.84,175893.48
pred2,none,R_6mCmMGwshUbpuFx,67dfc7953881052b94892d8b,2183,92,8299.3289965,True,3,304.0,167.0,2183,2005,1072,2.0,0,2005,6,140000,175258.53,165667.08
pred2,none,R_6mCmMGwshUbpuFx,67dfc7953881052b94892d8b,1039,93,8299.3289965,True,3,261.0,169.0,1039,1998,1337,2.0,0,1999,6,181000,163968.42,168414.83
pred2,none,R_6mCmMGwshUbpuFx,67dfc7953881052b94892d8b,2344,94,8299.3289965,True,3,370.0,263.0,2344,1988,2183,3.0,0,1988,7,229000,218360.45,263082.7
pred2,none,R_6mCmMGwshUbpuFx,67dfc7953881052b94892d8b,1993,95,8299.3289965,True,3,260.0,108.0,1993,1910,1232,2.0,0,1950,5,114000,112078.74,106275.66
pred2,both,R_7qUQ8e5LEilWEcB,57529fbc947a3d0007b53d1d,830,156,8152.4782792,True,3,300.0,184.0,830,2007,1232,2.0,0,2007,7,194500,193952.27,184118.5
pred2,both,R_7qUQ8e5LEilWEcB,57529fbc947a3d0007b53d1d,2623,157,8152.4782792,True,3,300.0,120.0,2623,1950,1040,2.0,0,1950,4,109900,110877.516,115872.3
pred2,both,R_7qUQ8e5LEilWEcB,57529fbc947a3d0007b53d1d,1959,158,8152.4782792,True,3,225.0,149.0,1959,1949,1846,1.0,1,1950,6,143000,137651.11,152319.69
pred2,both,R_7qUQ8e5LEilWEcB,57529fbc947a3d0007b53d1d,2069,159,8152.4782792,True,3,247.0,145.0,2069,1954,1299,2.0,1,1995,6,150000,180960.38,145640.42
pred2,both,R_7qUQ8e5LEilWEcB,57529fbc947a3d0007b53d1d,121,160,8152.4782792,True,3,245.0,139.0,121,1966,1209,2.0,0,1966,5,159000,147847.47,139981.97
pred2,both,R_7qUQ8e5LEilWEcB,57529fbc947a3d0007b53d1d,682,161,8152.4782792,True,3,300.0,133.0,682,1958,1339,1.0,0,1965,5,139000,121326.86,133898.61
pred2,both,R_7qUQ8e5LEilWEcB,57529fbc947a3d0007b53d1d,2018,162,8152.4782792,True,3,300.0,116.0,2018,1920,1513,1.0,0,2004,5,137500,116277.56,117358.87
pred2,both,R_7qUQ8e5LEilWEcB,57529fbc947a3d0007b53d1d,1786,163,8152.4782792,True,3,300.0,253.0,1786,2007,1689,3.0,0,2007,7,248328,218659.06,254704.38
pred2,both,R_7qUQ8e5LEilWEcB,57529fbc947a3d0007b53d1d,2136,164,8152.4782792,True,3,252.0,146.0,2136,1976,1025,2.0,1,1976,5,153500,149472.73,146452.98
pred2,both,R_7qUQ8e5LEilWEcB,57529fbc947a3d0007b53d1d,1027,165,8152.4782792,True,3,256.0,139.0,1027,1969,1308,2.0,0,1969,5,146900,140892.17,139363.52
pred2,both,R_7qUQ8e5LEilWEcB,57529fbc947a3d0007b53d1d,303,166,8152.4782792,True,3,207.0,69.0,303,1941,540,1.0,0,1950,2,82000,49125.734,68339.56
pred2,both,R_7qUQ8e5LEilWEcB,57529fbc947a3d0007b53d1d,564,167,8152.4782792,True,3,270.0,278.0,564,1980,2014,3.0,2,1980,8,275000,280547.8,278653.28
pred1,both,R_5WCojCeB3VK0Gg9,67e87a253b9b4747c85c45cb,502,48,21718.58157845,True,3,540.0,268.0,502,1993,2646,3.0,1,1993,7,260000,266193.72,333926.94
pred1,both,R_5WCojCeB3VK0Gg9,67e87a253b9b4747c85c45cb,1090,49,21718.58157845,True,3,365.0,221.0,1090,2002,1720,2.0,1,2003,7,188000,215664.02,224057.78
pred1,both,R_5WCojCeB3VK0Gg9,67e87a253b9b4747c85c45cb,809,50,21718.58157845,True,3,321.0,186.0,809,1979,1224,2.0,2,1979,5,153337,186321.34,174157.89
pred1,both,R_5WCojCeB3VK0Gg9,67e87a253b9b4747c85c45cb,2396,51,21718.58157845,True,3,488.0,413.0,2396,2003,1944,3.0,3,2004,9,360000,400831.6,316650.84
pred1,both,R_5WCojCeB3VK0Gg9,67e87a253b9b4747c85c45cb,2554,52,21718.58157845,True,3,214.0,133.0,2554,1947,1043,1.0,1,1950,5,137000,125343.76,123776.82
pred1,both,R_5WCojCeB3VK0Gg9,67e87a253b9b4747c85c45cb,1748,53,21718.58157845,True,3,507.0,210.0,1748,2004,1374,2.0,1,2004,7,175000,204946.06,198364.16
pred1,both,R_5WCojCeB3VK0Gg9,67e87a253b9b4747c85c45cb,2717,54,21718.58157845,True,3,332.0,181.0,2717,1978,1040,2.0,1,1978,6,160500,167977.23,150191.34
pred1,both,R_5WCojCeB3VK0Gg9,67e87a253b9b4747c85c45cb,1489,55,21718.58157845,True,3,250.0,152.0,1489,1965,1256,1.0,0,1965,5,147500,132770.34,136099.33
pred1,both,R_5WCojCeB3VK0Gg9,67e87a253b9b4747c85c45cb,2513,56,21718.58157845,True,3,344.0,201.0,2513,2000,1382,2.0,0,2000,7,165000,187437.73,175263.39
pred1,both,R_5WCojCeB3VK0Gg9,67e87a253b9b4747c85c45cb,2035,57,21718.58157845,True,3,222.0,140.0,2035,1937,1375,1.0,1,1950,6,141000,135419.48,138702.81
pred1,both,R_5WCojCeB3VK0Gg9,67e87a253b9b4747c85c45cb,1518,58,21718.58157845,True,3,194.0,152.0,1518,1939,2192,1.0,1,1997,5,179500,149078.69,177828.25
pred1,both,R_5WCojCeB3VK0Gg9,67e87a253b9b4747c85c45cb,2653,59,21718.58157845,True,3,431.0,121.0,2653,1924,1566,2.0,0,1950,5,139000,116356.1,134239.61
pred1,shap,R_6jcXWu5EGhTXmkb,67ca11d4a3397b2014be56b4,95,24,5525.79583605,True,3,232.0,182.0,95,2004,1680,2.0,0,2004,7,190000,180083.39,194857.02
pred1,shap,R_6jcXWu5EGhTXmkb,67ca11d4a3397b2014be56b4,2712,25,5525.79583605,True,3,168.0,132.0,2712,1966,1059,1.0,0,1966,5,142500,131265.33,134001.95
pred1,shap,R_6jcXWu5EGhTXmkb,67ca11d4a3397b2014be56b4,2847,26,5525.79583605,True,3,131.0,168.0,2847,1940,1595,1.0,2,2000,6,140000,176849.88,162618.42
pred1,shap,R_6jcXWu5EGhTXmkb,67ca11d4a3397b2014be56b4,1508,27,5525.79583605,True,3,123.0,94.0,1508,1953,930,1.0,0,1953,4,99000,95893.734,105091.01
pred1,shap,R_6jcXWu5EGhTXmkb,67ca11d4a3397b2014be56b4,2111,28,5525.79583605,True,3,135.0,189.0,2111,2005,1270,2.0,0,2006,7,175900,189440.22,179123.69
pred1,shap,R_6jcXWu5EGhTXmkb,67ca11d4a3397b2014be56b4,1069,29,5525.79583605,True,3,116.0,303.0,1069,2003,2690,3.0,1,2003,8,370000,306094.47,360677.03
pred1,shap,R_6jcXWu5EGhTXmkb,67ca11d4a3397b2014be56b4,2915,30,5525.79583605,True,3,111.0,111.0,2915,1972,1092,1.0,0,1972,4,79400,97346.08,109895.95
pred1,shap,R_6jcXWu5EGhTXmkb,67ca11d4a3397b2014be56b4,2429,31,5525.79583605,True,3,133.0,289.0,2429,2006,1567,3.0,1,2006,8,264561,286062.0,271774.97
pred1,shap,R_6jcXWu5EGhTXmkb,67ca11d4a3397b2014be56b4,1646,32,5525.79583605,True,3,110.0,184.0,1646,1984,1868,2.0,1,2003,6,178000,183026.95,209720.8
pred1,shap,R_6jcXWu5EGhTXmkb,67ca11d4a3397b2014be56b4,453,33,5525.79583605,True,3,91.0,193.0,453,2005,1306,2.0,1,2005,6,196000,193013.98,202296.02
pred1,shap,R_6jcXWu5EGhTXmkb,67ca11d4a3397b2014be56b4,196,34,5525.79583605,True,3,82.0,172.0,196,1940,1196,2.0,2,1950,6,128000,173554.2,155556.81
pred1,shap,R_6jcXWu5EGhTXmkb,67ca11d4a3397b2014be56b4,2019,35,5525.79583605,True,3,60.0,152.0,2019,1929,854,2.0,0,2001,7,132000,153530.75,101327.055
pred2,both,R_6HIAzJNypMzE10V,641386b1cb9a9c1e3569d4ee,830,156,18334.5446792,True,3,379.0,416.0,830,2007,1232,2.0,0,2007,7,194500,193952.27,184118.5
pred2,both,R_6HIAzJNypMzE10V,641386b1cb9a9c1e3569d4ee,2623,157,18334.5446792,True,3,293.0,162.0,2623,1950,1040,2.0,0,1950,4,109900,110877.516,115872.3
pred2,both,R_6HIAzJNypMzE10V,641386b1cb9a9c1e3569d4ee,1959,158,18334.5446792,True,3,317.0,153.0,1959,1949,1846,1.0,1,1950,6,143000,137651.11,152319.69
pred2,both,R_6HIAzJNypMzE10V,641386b1cb9a9c1e3569d4ee,2069,159,18334.5446792,True,3,350.0,159.0,2069,1954,1299,2.0,1,1995,6,150000,180960.38,145640.42
pred2,both,R_6HIAzJNypMzE10V,641386b1cb9a9c1e3569d4ee,121,160,18334.5446792,True,3,305.0,138.0,121,1966,1209,2.0,0,1966,5,159000,147847.47,139981.97
pred2,both,R_6HIAzJNypMzE10V,641386b1cb9a9c1e3569d4ee,682,161,18334.5446792,True,3,313.0,138.0,682,1958,1339,1.0,0,1965,5,139000,121326.86,133898.61
pred2,both,R_6HIAzJNypMzE10V,641386b1cb9a9c1e3569d4ee,2018,162,18334.5446792,True,3,268.0,128.0,2018,1920,1513,1.0,0,2004,5,137500,116277.56,117358.87
pred2,both,R_6HIAzJNypMzE10V,641386b1cb9a9c1e3569d4ee,1786,163,18334.5446792,True,3,487.0,256.0,1786,2007,1689,3.0,0,2007,7,248328,218659.06,254704.38
pred2,both,R_6HIAzJNypMzE10V,641386b1cb9a9c1e3569d4ee,2136,164,18334.5446792,True,3,357.0,144.0,2136,1976,1025,2.0,1,1976,5,153500,149472.73,146452.98
pred2,both,R_6HIAzJNypMzE10V,641386b1cb9a9c1e3569d4ee,1027,165,18334.5446792,True,3,333.0,138.0,1027,1969,1308,2.0,0,1969,5,146900,140892.17,139363.52
pred2,both,R_6HIAzJNypMzE10V,641386b1cb9a9c1e3569d4ee,303,166,18334.5446792,True,3,243.0,68.0,303,1941,540,1.0,0,1950,2,82000,49125.734,68339.56
pred2,both,R_6HIAzJNypMzE10V,641386b1cb9a9c1e3569d4ee,564,167,18334.5446792,True,3,311.0,285.0,564,1980,2014,3.0,2,1980,8,275000,280547.8,278653.28
pred2,shap,R_6pbg2BvkXQZMWid,67d73460a2d7812a614f48ba,830,156,3034.0630792,True,4.01,114.0,159.0,830,2007,1232,2.0,0,2007,7,194500,193952.27,184118.5
pred2,shap,R_6pbg2BvkXQZMWid,67d73460a2d7812a614f48ba,2623,157,3034.0630792,True,4.01,124.0,119.0,2623,1950,1040,2.0,0,1950,4,109900,110877.516,115872.3
pred2,shap,R_6pbg2BvkXQZMWid,67d73460a2d7812a614f48ba,1959,158,3034.0630792,True,4.01,80.0,131.0,1959,1949,1846,1.0,1,1950,6,143000,137651.11,152319.69
pred2,shap,R_6pbg2BvkXQZMWid,67d73460a2d7812a614f48ba,2069,159,3034.0630792,True,4.01,75.0,121.0,2069,1954,1299,2.0,1,1995,6,150000,180960.38,145640.42
pred2,shap,R_6pbg2BvkXQZMWid,67d73460a2d7812a614f48ba,121,160,3034.0630792,True,4.01,129.0,134.0,121,1966,1209,2.0,0,1966,5,159000,147847.47,139981.97
pred2,shap,R_6pbg2BvkXQZMWid,67d73460a2d7812a614f48ba,682,161,3034.0630792,True,4.01,118.0,139.0,682,1958,1339,1.0,0,1965,5,139000,121326.86,133898.61
pred2,shap,R_6pbg2BvkXQZMWid,67d73460a2d7812a614f48ba,2018,162,3034.0630792,True,4.01,77.0,110.0,2018,1920,1513,1.0,0,2004,5,137500,116277.56,117358.87
pred2,shap,R_6pbg2BvkXQZMWid,67d73460a2d7812a614f48ba,1786,163,3034.0630792,True,4.01,184.0,305.0,1786,2007,1689,3.0,0,2007,7,248328,218659.06,254704.38
pred2,shap,R_6pbg2BvkXQZMWid,67d73460a2d7812a614f48ba,2136,164,3034.0630792,True,4.01,107.0,143.0,2136,1976,1025,2.0,1,1976,5,153500,149472.73,146452.98
pred2,shap,R_6pbg2BvkXQZMWid,67d73460a2d7812a614f48ba,1027,165,3034.0630792,True,4.01,95.0,125.0,1027,1969,1308,2.0,0,1969,5,146900,140892.17,139363.52
pred2,shap,R_6pbg2BvkXQZMWid,67d73460a2d7812a614f48ba,303,166,3034.0630792,True,4.01,60.0,60.0,303,1941,540,1.0,0,1950,2,82000,49125.734,68339.56
pred2,shap,R_6pbg2BvkXQZMWid,67d73460a2d7812a614f48ba,564,167,3034.0630792,True,4.01,102.0,220.0,564,1980,2014,3.0,2,1980,8,275000,280547.8,278653.28
pred1,shap,R_7gT2T3KcqATvQNT,67d86290a2be1370fc1e4083,2426,96,57914.70288,True,3,227.0,333.0,2426,2005,1248,2.0,0,2006,7,167240,195242.44,177709.9
pred1,shap,R_7gT2T3KcqATvQNT,67d86290a2be1370fc1e4083,234,97,57914.70288,True,3,259.0,197.0,234,1978,1981,2.0,1,1992,6,230000,167476.89,194335.72
pred1,shap,R_7gT2T3KcqATvQNT,67d86290a2be1370fc1e4083,2054,98,57914.70288,True,3,509.0,131.0,2054,1966,1040,1.0,0,1966,5,123000,131439.7,131264.2
pred1,shap,R_7gT2T3KcqATvQNT,67d86290a2be1370fc1e4083,1679,99,57914.70288,True,3,304.0,159.0,1679,1970,1302,2.0,0,1970,5,106000,126507.32,133611.1
pred1,shap,R_7gT2T3KcqATvQNT,67d86290a2be1370fc1e4083,2400,100,57914.70288,True,3,432.0,373.0,2400,2003,1792,3.0,1,2004,9,374000,362047.94,265556.78
pred1,shap,R_7gT2T3KcqATvQNT,67d86290a2be1370fc1e4083,1179,101,57914.70288,True,3,310.0,290.0,1179,1996,1288,2.0,2,1996,8,245500,291732.47,216275.11
pred1,shap,R_7gT2T3KcqATvQNT,67d86290a2be1370fc1e4083,228,102,57914.70288,True,3,589.0,167.0,228,1978,1386,2.0,1,1978,6,158900,166387.98,163711.7
pred1,shap,R_7gT2T3KcqATvQNT,67d86290a2be1370fc1e4083,2120,103,57914.70288,True,3,375.0,167.0,2120,1994,1022,2.0,0,1994,5,139500,165578.78,158452.98
pred1,shap,R_7gT2T3KcqATvQNT,67d86290a2be1370fc1e4083,2697,104,57914.70288,True,3,431.0,126.0,2697,1935,754,0.0,0,1982,6,84500,128579.695,64872.2
pred1,shap,R_7gT2T3KcqATvQNT,67d86290a2be1370fc1e4083,1514,105,57914.70288,True,3,663.0,93.0,1514,1925,864,0.0,0,1950,5,98000,91686.92,86353.055
pred1,shap,R_7gT2T3KcqATvQNT,67d86290a2be1370fc1e4083,2596,106,57914.70288,True,3,470.0,89.0,2596,1930,713,1.0,0,2001,3,99800,80254.13,75172.516
pred1,shap,R_7gT2T3KcqATvQNT,67d86290a2be1370fc1e4083,1037,107,57914.70288,True,3,499.0,127.0,1037,1971,864,2.0,0,1971,5,123000,127237.04,119688.86
pred1,both,R_1sRcqvt7gbVLS1M,66d8790772c9e0e4ee96259c,903,36,1606.6,True,4.84,150.0,145.0,903,1920,1196,2.0,0,2000,6,110000,144115.62,111023.85
pred1,both,R_1sRcqvt7gbVLS1M,66d8790772c9e0e4ee96259c,1343,37,1606.6,True,4.84,165.0,87.0,1343,1929,1136,1.0,0,1950,4,123000,86763.484,109483.9
pred1,both,R_1sRcqvt7gbVLS1M,66d8790772c9e0e4ee96259c,2846,38,1606.6,True,4.84,163.0,111.0,2846,1916,1928,0.0,0,1995,5,160000,110421.336,113523.57
pred1,both,R_1sRcqvt7gbVLS1M,66d8790772c9e0e4ee96259c,1195,39,1606.6,True,4.84,162.0,151.0,1195,1965,925,2.0,0,2005,5,135000,152443.64,125296.55
pred1,both,R_1sRcqvt7gbVLS1M,66d8790772c9e0e4ee96259c,2797,40,1606.6,True,4.84,205.0,283.0,2797,1999,2214,3.0,1,1999,8,268500,282033.4,286122.6
pred1,both,R_1sRcqvt7gbVLS1M,66d8790772c9e0e4ee96259c,109,41,1606.6,True,4.84,183.0,163.0,109,1976,1479,2.0,0,2005,6,130500,162819.53,148758.14
pred1,both,R_1sRcqvt7gbVLS1M,66d8790772c9e0e4ee96259c,1216,42,1606.6,True,4.84,168.0,138.0,1216,1959,1053,1.0,0,2006,5,145500,138376.47,128597.96
pred1,both,R_1sRcqvt7gbVLS1M,66d8790772c9e0e4ee96259c,1501,43,1606.6,True,4.84,185.0,95.0,1501,1955,1152,0.0,0,1955,4,82000,94391.1,103929.68
pred1,both,R_1sRcqvt7gbVLS1M,66d8790772c9e0e4ee96259c,1720,44,1606.6,True,4.84,209.0,246.0,1720,2006,1554,2.0,1,2006,8,209500,246049.53,230323.58
pred1,both,R_1sRcqvt7gbVLS1M,66d8790772c9e0e4ee96259c,1418,45,1606.6,True,4.84,164.0,107.0,1418,1941,1111,1.0,0,1950,5,95000,107038.625,105011.664
